,TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
36918,578921,11/27/2019,22485,Set Of 2 Wooden Market Crates,6.04,1,13596,United Kingdom
10384,580894,12/6/2019,22485,Set Of 2 Wooden Market Crates,6.19,12,13408,United Kingdom
26557,579676,11/30/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,17502,United Kingdom
27880,579777,11/30/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,13777,United Kingdom
29710,579358,11/29/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,16992,United Kingdom
35350,579187,11/28/2019,22485,Set Of 2 Wooden Market Crates,6.19,1,13187,United Kingdom
37037,578926,11/27/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,18156,United Kingdom
38175,578952,11/27/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,18112,United Kingdom
43448,578361,11/24/2019,22485,Set Of 2 Wooden Market Crates,6.19,2,13638,United Kingdom
23883,580097,12/1/2019,22485,Set Of 2 Wooden Market Crates,7.24,2,14216,United Kingdom
26653,579690,11/30/2019,22485,Set Of 2 Wooden Market Crates,7.24,1,15060,United Kingdom
29384,579297,11/29/2019,22485,Set Of 2 Wooden Market Crates,7.24,2,15297,United Kingdom
0,581482,12/9/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490,United Kingdom
62462,577084,11/17/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,16626,United Kingdom
87471,575256,11/9/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,13408,United Kingdom
176805,568480,9/27/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490,United Kingdom
195008,566980,9/16/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,15498,United Kingdom
270059,560580,7/19/2019,22485,Set Of 2 Wooden Market Crates,21.47,16,14088,United Kingdom
303100,557788,6/22/2019,22485,Set Of 2 Wooden Market Crates,21.47,2,14088,United Kingdom
321115,555949,6/8/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,16626,United Kingdom
326702,555418,6/3/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,15498,United Kingdom
328227,555401,6/2/2019,22485,Set Of 2 Wooden Market Crates,21.47,18,14088,United Kingdom
59545,577302,11/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17904,United Kingdom
59554,C577323,11/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,-1,17904,United Kingdom
66046,576838,11/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,18075,United Kingdom
66050,576867,11/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13012,United Kingdom
90203,575070,11/8/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17841,United Kingdom
99686,574545,11/4/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,17084,United Kingdom
107671,573911,11/1/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17315,United Kingdom
112799,573370,10/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16626,United Kingdom
112803,573400,10/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17796,United Kingdom
141914,571180,10/14/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,15498,United Kingdom
148221,570672,10/11/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12536,France
150672,570255,10/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17648,United Kingdom
155144,570126,10/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,16910,United Kingdom
169585,569025,9/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,18041,United Kingdom
173945,568654,9/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,14911,EIRE
176793,C568418,9/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,-2,15763,United Kingdom
180203,568212,9/25/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,15154,United Kingdom
182208,568044,9/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15763,United Kingdom
184806,567793,9/22/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12657,France
184810,567855,9/22/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,13220,United Kingdom
184821,567929,9/22/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12425,Portugal
192295,567197,9/19/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,14934,Channel Islands
194991,567128,9/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,18055,United Kingdom
200010,566585,9/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16409,United Kingdom
206109,566085,9/9/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17841,United Kingdom
215649,565384,9/2/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13507,United Kingdom
223784,564713,8/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,16768,United Kingdom
227244,564342,8/24/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16340,United Kingdom
230532,564062,8/22/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,17706,United Kingdom
233670,563613,8/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,12688,Israel
235214,563557,8/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15786,United Kingdom
242459,562888,8/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14388,United Kingdom
243800,562730,8/9/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17554,United Kingdom
246919,562490,8/5/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14720,United Kingdom
248386,562273,8/4/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12502,Spain
253093,562031,8/1/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16984,United Kingdom
254269,561894,7/31/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,14456,United Kingdom
255541,561694,7/29/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16147,United Kingdom
255551,561799,7/29/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15776,United Kingdom
262582,561068,7/24/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13116,United Kingdom
263704,560930,7/22/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15829,United Kingdom
266557,560602,7/20/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13629,United Kingdom
270239,560410,7/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17213,United Kingdom
270243,C560409,7/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,-2,16717,United Kingdom
272359,560231,7/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13305,United Kingdom
274734,559929,7/14/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14265,Unspecified
276453,559912,7/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14221,United Kingdom
283640,559311,7/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,14459,United Kingdom
293323,558533,6/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16717,United Kingdom
293325,558540,6/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,3,17706,United Kingdom
293329,558558,6/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17841,United Kingdom
294936,558452,6/29/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,15208,United Kingdom
296270,558315,6/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,15065,United Kingdom
303172,557528,6/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17159,United Kingdom
303174,557595,6/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15507,United Kingdom
303181,557621,6/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12444,Norway
