CustomerNo,TotalQuantity,TotalPrice
13069.0,5885,63353.94
12433.0,11062,115454.49
16446.0,80997,1002741.57
17389.0,7612,98926.42
17428.0,9474,99827.67
14051.0,3455,45799.990000000005
18102.0,64124,897137.3600000001
15311.0,38124,392033.09
16705.0,5476,65877.78
17581.0,5927,56242.15
12748.0,25514,271206.94
13777.0,14565,150785.02000000002
13408.0,16232,175237.05
16523.0,4265,38010.69
17677.0,9775,83135.63
12621.0,7379,78791.82999999999
15159.0,11441,129213.38
17841.0,23050,255508.58
14646.0,197420,2112282.0300000003
15189.0,6149,74866.47
13098.0,15968,160510.77
14796.0,5989,67479.65
13798.0,23948,248927.53000000003
14911.0,80383,914633.52
17675.0,8359,97116.99
17949.0,30450,348200.27
14606.0,6205,72822.37999999999
13089.0,31110,354882.55
17017.0,6684,71541.05
17511.0,64549,639006.19
14769.0,7435,85049.39
13685.0,5061,51381.95
16000.0,5110,31630.9
15498.0,6105,70473.34
18092.0,4252,51683.72
17434.0,5130,64654.95
13767.0,7955,98939.8
12471.0,8104,91010.72
17735.0,8439,80240.90000000001
13694.0,63860,646116.78
16013.0,15845,194081.07
16133.0,8887,99873.97
15061.0,28920,333977.12
12971.0,9289,100914.98
13881.0,10118,111928.38
15194.0,5703,61262.55
13078.0,5630,64169.67
14194.0,6243,71834.95000000001
17857.0,14822,168410.97999999998
16592.0,5834,68601.81
15856.0,11002,119379.62
16684.0,49955,528587.3400000001
13001.0,5505,63683.15
17404.0,32744,365681.2
14096.0,16334,177814.26
16729.0,8235,78722.12
13319.0,4724,55079.03
14895.0,4851,57562.84
14146.0,3523,32019.310000000005
16333.0,32184,349966.23999999993
15769.0,29672,204746.44
13458.0,5508,62678.34000000001
15078.0,5105,44586.91
14031.0,5694,74320.62
16839.0,8975,100974.75
12901.0,23075,244287.79
16700.0,4024,41255.13
16701.0,6393,67187.76999999999
17381.0,25649,281942.68
14298.0,58343,636167.17
17450.0,69993,891438.53
14156.0,57845,694965.02
15039.0,9200,100664.72
14258.0,6980,75235.94
12524.0,4971,57952.31
12921.0,9526,94853.69
12451.0,6660,74247.09
14866.0,6756,82481.14
17306.0,11491,120657.72999999998
15615.0,5508,56739.98
14088.0,12649,152390.56
13081.0,19154,212622.48
15838.0,18403,189064.64
15601.0,4983,56946.91
17365.0,4765,51335.57
12681.0,7457,86451.57999999999
13256.0,12540,77622.6
17139.0,5182,52971.44
15482.0,5019,50403.34
14607.0,10734,107942.72
16722.0,5001,49517.84
16422.0,33704,381043.45
12540.0,6620,79521.30000000002
14849.0,5695,64599.98
12931.0,28574,320853.10000000003
12477.0,3653,50865.6
12753.0,11421,136322.73
16656.0,8894,100009.66
12731.0,8429,102510.58
12640.0,2502,37688.39
13629.0,4372,30492.24
17596.0,4658,50791.94
16240.0,3448,45321.49
12415.0,77669,900545.54
14365.0,13956,184148.76
15125.0,6193,65083.36
14680.0,13475,126356.73
17340.0,5967,73680.41
16187.0,5824,65886.45000000001
15941.0,14149,184880.85
15513.0,5709,73038.72
12830.0,10154,112345.34000000004
16029.0,40207,435532.14
14585.0,5286,67937.22
12678.0,10997,120696.22
16843.0,10159,108933.74
13340.0,5770,66186.45
18079.0,7432,79916.54999999999
14800.0,3694,41273.59
17940.0,9754,102301.66
13750.0,3374,54837.850000000006
12744.0,5234,63480.95
14609.0,7026,72625.26000000001
16182.0,4224,32235.68
15475.0,4455,53161.91
12409.0,5551,66730.26000000001
16745.0,6735,73016.23999999999
16180.0,5867,44407.4
13027.0,17280,184204.8
16553.0,4600,53013.4
14351.0,2241,35208.91
15749.0,18028,230408.4
14203.0,5963,78231.14
15032.0,2968,21334.49
12346.0,74215,840113.8
14877.0,2153,34630.67
14982.0,1834,29038.07
