CustomerNo,TotalQuantity,TotalPrice
14646.0,197420,2112282.0300000003
16446.0,80997,1002741.57
14911.0,80383,914633.52
12415.0,77669,900545.54
12346.0,74215,840113.8
17450.0,69993,891438.53
17511.0,64549,639006.19
18102.0,64124,897137.3600000001
13694.0,63860,646116.78
14298.0,58343,636167.17
14156.0,57845,694965.02
16684.0,49955,528587.3400000001
16029.0,40207,435532.14
15311.0,38124,392033.09
16422.0,33704,381043.45
17404.0,32744,365681.2
16333.0,32184,349966.23999999993
13089.0,31110,354882.55
17949.0,30450,348200.27
15769.0,29672,204746.44
15061.0,28920,333977.12
12931.0,28574,320853.10000000003
17381.0,25649,281942.68
12748.0,25514,271206.94
13798.0,23948,248927.53000000003
12901.0,23075,244287.79
17841.0,23050,255508.58
13081.0,19154,212622.48
15838.0,18403,189064.64
15749.0,18028,230408.4
13027.0,17280,184204.8
14096.0,16334,177814.26
13408.0,16232,175237.05
13098.0,15968,160510.77
16013.0,15845,194081.07
17857.0,14822,168410.97999999998
13777.0,14565,150785.02000000002
15941.0,14149,184880.85
14365.0,13956,184148.76
14680.0,13475,126356.73
14088.0,12649,152390.56
13256.0,12540,77622.6
17306.0,11491,120657.72999999998
15159.0,11441,129213.38
12753.0,11421,136322.73
12433.0,11062,115454.49
15856.0,11002,119379.62
12678.0,10997,120696.22
14607.0,10734,107942.72
16843.0,10159,108933.74
12830.0,10154,112345.34000000004
13881.0,10118,111928.38
17677.0,9775,83135.63
17940.0,9754,102301.66
12921.0,9526,94853.69
17428.0,9474,99827.67
12971.0,9289,100914.98
15039.0,9200,100664.72
16839.0,8975,100974.75
16656.0,8894,100009.66
16133.0,8887,99873.97
17735.0,8439,80240.90000000001
12731.0,8429,102510.58
17675.0,8359,97116.99
16729.0,8235,78722.12
12471.0,8104,91010.72
16308.0,8000,84640.0
13767.0,7955,98939.8
18251.0,7824,84622.07999999999
17389.0,7612,98926.42
16210.0,7558,84327.78000000001
12681.0,7457,86451.57999999999
14769.0,7435,85049.39
18079.0,7432,79916.54999999999
16525.0,7397,84842.98000000001
12621.0,7379,78791.82999999999
15358.0,7050,77004.69
14609.0,7026,72625.26000000001
14258.0,6980,75235.94
15640.0,6971,77068.25
13316.0,6948,77324.18999999999
14101.0,6942,77295.35999999999
14866.0,6756,82481.14
16745.0,6735,73016.23999999999
17017.0,6684,71541.05
12451.0,6660,74247.09
12540.0,6620,79521.30000000002
12754.0,6481,69523.14000000001
16701.0,6393,67187.76999999999
14194.0,6243,71834.95000000001
14606.0,6205,72822.37999999999
15125.0,6193,65083.36
13199.0,6175,69775.95999999999
15251.0,6171,70145.45
15189.0,6149,74866.47
15498.0,6105,70473.34
14796.0,5989,67479.65
17340.0,5967,73680.41
14203.0,5963,78231.14
17581.0,5927,56242.15
13069.0,5885,63353.94
16180.0,5867,44407.4
16592.0,5834,68601.81
16187.0,5824,65886.45000000001
13340.0,5770,66186.45
17865.0,5756,69781.68
15513.0,5709,73038.72
15194.0,5703,61262.55
14849.0,5695,64599.98
14031.0,5694,74320.62
13078.0,5630,64169.67
18139.0,5557,58913.05
12409.0,5551,66730.26000000001
15615.0,5508,56739.98
13458.0,5508,62678.34000000001
13001.0,5505,63683.15
16705.0,5476,65877.78
13018.0,5435,60984.7
12682.0,5418,58286.29
14062.0,5413,58384.630000000005
14060.0,5386,60410.58000000001
14667.0,5384,58911.95
16558.0,5377,58736.0
16779.0,5325,60182.93
14585.0,5286,67937.22
12798.0,5256,52015.44
12744.0,5234,63480.95
13324.0,5205,60652.68999999999
17139.0,5182,52971.44
17434.0,5130,64654.95
16000.0,5110,31630.9
14739.0,5106,58681.03999999999
15078.0,5105,44586.91
13685.0,5061,51381.95
12583.0,5028,56248.77
15482.0,5019,50403.34
16722.0,5001,49517.84
12557.0,4984,46887.02
15601.0,4983,56946.91
12524.0,4971,57952.31
13135.0,4963,55274.44
12683.0,4934,55540.22
14057.0,4876,53914.5
12939.0,4876,53913.03999999999
14895.0,4851,57562.84
