CustomerNo,TotalQuantity,TotalMoney
17490,1134,13538.07
13069,5885,63353.94
12433,11062,115454.49
13426,2245,25893.59
17364,2701,30254.25
14441,446,6326.48
16446,80997,1002741.57
17389,7612,98926.42
17001,2164,21680.74
15694,1680,21902.34
17428,9474,99827.67
16954,1054,11507.91
15492,2493,18230.28
12423,1377,14766.41
12518,1306,14202.72
14051,3455,45799.99
16558,5377,58736
17497,1670,16972.33
14498,1827,17455.59
15344,1718,11919.04
12985,1844,18503.76
15910,1016,9999.26
17754,1869,17317.5
14422,2906,33035.84
14446,873,9221.46
18102,64124,897137.36
16626,2690,29243.19
12662,2041,22606.22
15311,38124,392033.09
16705,5476,65877.78
12526,624,6572.17
12713,505,3270.25
17581,5927,56242.15
12748,25514,271206.94
13777,14565,150785.02
15804,2564,29149.14
13113,3472,47733.65
12680,439,4628.29
14251,1674,16311.6
13408,16232,175237.05
16523,4265,38010.69
16217,1942,13121.48
14191,3662,35380.97
16219,2744,20078.03
13924,1575,13751
17856,1338,16025.83
14520,146,930.04
15237,1081,12151.18
17631,334,3185.55
17677,9775,83135.63
14291,3704,34318.25
12358,1826,23772.82
13436,76,516.64
13468,3011,36521.54
15443,1663,16842.32
16238,691,4454.74
15520,316,1974.3
15453,845,9692.66
18210,1398,14888.3
14129,592,6714
16891,288,3538.61
12256,1075,6606.82
12621,7379,78791.83
12437,2894,33137.62
18109,4237,47594.27
13394,2392,26096.45
14135,3862,43102.87
16442,446,4502.86
14217,689,8174.25
15877,371,2386.91
15187,1886,19566.24
15159,11441,129213.38
17841,23050,255508.58
15214,1254,13178.1
16161,2594,26147.97
14646,197420,2112282.03
17315,3862,44542.2
14698,615,6700.83
17830,92,1128.16
13314,560,5576.62
17436,90,877.26
17522,1408,16375.62
16210,7558,84327.78
14719,1320,13628.77
14138,610,6037.79
17673,1487,16417.8
13954,150,1358.69
13102,4204,47801.35
16933,907,11189.86
13860,591,5269.3
15399,694,6887.04
13298,96,594.24
16892,239,2268.09
15189,6149,74866.47
17668,93,867.37
17243,3366,39657.42
17528,2138,22264.02
14056,4280,48262.27
17644,2132,22780.41
14653,949,9670.52
13510,1807,19800.96
13680,1936,19368.73
13521,733,4661.89
13263,4773,52119.89
13098,15968,160510.77
17554,2401,27716.96
14415,3320,32660.13
16833,441,4527.54
14730,1134,12557.29
13269,3514,37039.17
14569,79,496.36
13013,2224,27081.9
17451,1203,11227.88
15484,3152,31117.43
16358,1302,12928.04
15898,570,5876.7
16688,1560,18303.51
13890,1241,14671.29
14796,5989,67479.65
17757,3319,36644.92
13404,111,1324.76
16322,231,2251.9
13471,2142,22625.94
15431,14,86.66
13798,23948,248927.53
14911,80383,914633.52
13599,3292,33550
14435,2,12.38
17491,2013,20737.08
14621,993,9385.81
12955,3664,36287.4
15439,1747,11119.98
13536,2136,21238.91
13026,1620,15401.16
17405,726,7674.74
15208,426,5413.25
16794,936,9013.38
17144,483,5025.54
17675,8359,97116.99
16401,3882,36723.86
15156,597,5097.06
17530,1788,19622.35
17949,30450,348200.27
13318,304,2903.18
13077,863,8520.32
14606,6205,72822.38
14702,1454,17333.93
15796,860,10326.49
12720,4636,48257.02
12583,5028,56248.77
14708,621,6227.33
16539,930,8567.96
12828,494,4974.54
12912,670,5512.84
13089,31110,354882.55
17503,486,4215.73
14397,1890,19764.28
17017,6684,71541.05
16458,2154,18571.38
13949,2971,30393.34
14141,355,4112.4
14910,238,2348.79
13743,1811,18820.77
14794,673,6267.63
17511,64549,639006.19
14769,7435,85049.39
12826,1055,10393.34
13023,1355,12316.55
17091,1746,17273.64
17049,2673,29252.41
16817,822,9354.49
15969,124,1685.3
13267,1969,22997.09
13882,953,8586.57
16191,3707,42693.16
15568,982,11351.97
17238,1821,19801.69
17412,738,7409.18
13685,5061,51381.95
18219,885,10469.52
17835,348,2992.59
13668,3742,42658.09
16000,5110,31630.9
15984,1843,17846.59
16678,2397,24951.94
14534,2046,23311.07
14527,2087,26090.68
15195,1404,8690.76
17232,203,1286.72
15136,776,7528.04
17042,994,10745.62
12839,3807,39680.04
15750,1786,18837.8
14087,251,1700.99
18272,2050,22758.63
15498,6105,70473.34
18237,622,6911.94
16393,1576,14775.12
17590,826,8931.82
14904,1985,15133.16
16368,260,2435.21
18092,4252,51683.72
18273,80,892.4
17434,5130,64654.95
12950,1380,9659.92
13870,1325,15732.68
14132,3368,35399.63
14204,82,507.58
14085,3256,34465.37
17602,4151,42935.99
16426,1242,12094.43
15471,266,1640.16
17266,161,1239.4
12747,1275,15438.2
14395,1693,19410.3
15701,923,9618.3
15525,694,7941.46
13534,2963,25912.69
16779,5325,60182.93
13767,7955,98939.8
12615,1362,14117.8
16525,7397,84842.98
17870,1529,15581.09
13769,1163,13953.19
14032,2032,22796.67
12471,8104,91010.72
12347,3971,38321.9
14189,3937,42353.5
12783,611,6599.98
12569,1747,19139.07
16672,2832,36868.58
13756,3188,35456.83
17735,8439,80240.9
17449,1124,13054.8
15883,223,1813.56
17097,459,4469.7
15298,3116,32596.3
12935,1853,19074.18
16197,12,74.93
16929,929,8767.08
12766,3627,40429.88
17728,1469,15663.12
12716,1371,15550.62
14140,811,7784.54
17666,596,5553.68
17739,866,10669.07
13694,63860,646116.78
12584,413,5498.41
15748,56,706.78
12749,1470,17525.86
12478,233,1547.87
12682,5418,58286.29
13754,1193,9519.51
14737,564,8004.79
12723,433,3772.94
13709,3516,40338.64
