CustomerNo,TotalQuantity,TotalMoney
16446,80997,1002741.57
18102,64124,897137.36
15311,38124,392033.09
12748,25514,271206.94
13777,14565,150785.02
13408,16232,175237.05
15159,11441,129213.38
17841,23050,255508.58
14646,197420,2112282.03
13098,15968,160510.77
13798,23948,248927.53
14911,80383,914633.52
17949,30450,348200.27
13089,31110,354882.55
17511,64549,639006.19
12471,8104,91010.72
13694,63860,646116.78
16013,15845,194081.07
15061,28920,333977.12
17857,14822,168410.98
15856,11002,119379.62
16684,49955,528587.34
17404,32744,365681.2
14096,16334,177814.26
16333,32184,349966.24
15769,29672,204746.44
12901,23075,244287.79
17381,25649,281942.68
14298,58343,636167.17
17450,69993,891438.53
14156,57845,694965.02
17306,11491,120657.73
14088,12649,152390.56
13081,19154,212622.48
15838,18403,189064.64
13256,12540,77622.6
16422,33704,381043.45
12931,28574,320853.1
12753,11421,136322.73
12415,77669,900545.54
14365,13956,184148.76
14680,13475,126356.73
15941,14149,184880.85
16029,40207,435532.14
12678,10997,120696.22
13027,17280,184204.8
15749,18028,230408.4
12346,74215,840113.8
