CustomerNo,TotalQuantity,TotalMoney
14646,197420,2112282.03
16446,80997,1002741.57
14911,80383,914633.52
12415,77669,900545.54
12346,74215,840113.8
17450,69993,891438.53
17511,64549,639006.19
18102,64124,897137.36
13694,63860,646116.78
14298,58343,636167.17
14156,57845,694965.02
16684,49955,528587.34
16029,40207,435532.14
15311,38124,392033.09
16422,33704,381043.45
17404,32744,365681.2
16333,32184,349966.24
13089,31110,354882.55
17949,30450,348200.27
15769,29672,204746.44
15061,28920,333977.12
12931,28574,320853.1
17381,25649,281942.68
12748,25514,271206.94
13798,23948,248927.53
12901,23075,244287.79
17841,23050,255508.58
13081,19154,212622.48
15838,18403,189064.64
15749,18028,230408.4
13027,17280,184204.8
14096,16334,177814.26
13408,16232,175237.05
13098,15968,160510.77
16013,15845,194081.07
17857,14822,168410.98
13777,14565,150785.02
15941,14149,184880.85
14365,13956,184148.76
14680,13475,126356.73
14088,12649,152390.56
13256,12540,77622.6
17306,11491,120657.73
15159,11441,129213.38
12753,11421,136322.73
12433,11062,115454.49
15856,11002,119379.62
12678,10997,120696.22
14607,10734,107942.72
16843,10159,108933.74
12830,10154,112345.34
13881,10118,111928.38
17677,9775,83135.63
17940,9754,102301.66
12921,9526,94853.69
17428,9474,99827.67
12971,9289,100914.98
15039,9200,100664.72
16839,8975,100974.75
16656,8894,100009.66
16133,8887,99873.97
17735,8439,80240.9
12731,8429,102510.58
17675,8359,97116.99
16729,8235,78722.12
12471,8104,91010.72
16308,8000,84640.0
13767,7955,98939.8
18251,7824,84622.08
17389,7612,98926.42
16210,7558,84327.78
12681,7457,86451.58
14769,7435,85049.39
18079,7432,79916.55
16525,7397,84842.98
12621,7379,78791.83
15358,7050,77004.69
14609,7026,72625.26
14258,6980,75235.94
15640,6971,77068.25
13316,6948,77324.19
14101,6942,77295.36
14866,6756,82481.14
16745,6735,73016.24
17017,6684,71541.05
12451,6660,74247.09
12540,6620,79521.3
12754,6481,69523.14
16701,6393,67187.77
14194,6243,71834.95
14606,6205,72822.38
15125,6193,65083.36
13199,6175,69775.96
15251,6171,70145.45
15189,6149,74866.47
15498,6105,70473.34
14796,5989,67479.65
17340,5967,73680.41
14203,5963,78231.14
17581,5927,56242.15
13069,5885,63353.94
16180,5867,44407.4
16592,5834,68601.81
16187,5824,65886.45
13340,5770,66186.45
17865,5756,69781.68
15513,5709,73038.72
15194,5703,61262.55
14849,5695,64599.98
14031,5694,74320.62
13078,5630,64169.67
18139,5557,58913.05
12409,5551,66730.26
15615,5508,56739.98
13458,5508,62678.34
13001,5505,63683.15
16705,5476,65877.78
13018,5435,60984.7
12682,5418,58286.29
14062,5413,58384.63
14060,5386,60410.58
14667,5384,58911.95
16558,5377,58736.0
16779,5325,60182.93
14585,5286,67937.22
12798,5256,52015.44
12744,5234,63480.95
13324,5205,60652.69
17139,5182,52971.44
17434,5130,64654.95
16000,5110,31630.9
14739,5106,58681.04
15078,5105,44586.91
13685,5061,51381.95
12583,5028,56248.77
15482,5019,50403.34
16722,5001,49517.84
12557,4984,46887.02
15601,4983,56946.91
12524,4971,57952.31
13135,4963,55274.44
12683,4934,55540.22
14057,4876,53914.5
12939,4876,53913.04
14895,4851,57562.84
17107,4837,54302.23
12474,4823,55889.61
13004,4822,52053.93
13263,4773,52119.89
17365,4765,51335.57
15939,4727,54699.04
13319,4724,55079.03
14286,4669,52438.51
17596,4658,50791.94
16746,4656,45478.83
12720,4636,48257.02
13488,4628,55695.85
16553,4600,53013.4
13969,4542,46665.35
14401,4507,48574.0
15290,4500,48622.76
15475,4455,53161.91
14367,4438,45721.08
16767,4435,48255.86
13266,4428,46730.21
15555,4409,46517.26
14159,4401,47251.87
12867,4376,47856.77
13629,4372,30492.24
13082,4324,47783.04
15547,4308,48423.02
17416,4302,48472.49
16754,4280,45914.4
14056,4280,48262.27
16713,4276,50259.61
16523,4265,38010.69
12567,4258,49397.22
13209,4253,47038.43
18092,4252,51683.72
15502,4246,49213.67
15005,4245,46073.44
18109,4237,47594.27
14936,4229,49642.07
16182,4224,32235.68
12590,4222,49891.4
13102,4204,47801.35
17811,4176,48404.19
17602,4151,42935.99
12472,4120,47779.49
18198,4074,46294.34
15093,4032,47088.95
16700,4024,41255.13
14533,4019,43069.92
15382,4012,40748.55
12347,3971,38321.9
12705,3970,44897.24
13093,3958,43563.5
14189,3937,42353.5
13418,3924,44917.55
12709,3921,47631.61
18087,3906,43317.54
17750,3906,40650.84
17706,3899,47278.36
16401,3882,36723.86
14049,3870,35608.19
17315,3862,44542.2
14135,3862,43102.87
16873,3840,39748.71
18041,3819,41769.63
12839,3807,39680.04
14733,3764,47466.75
13050,3747,42734.59
13668,3742,42658.09
14961,3708,40760.5
16191,3707,42693.16
14291,3704,34318.25
13848,3700,39218.0
14800,3694,41273.59
17744,3680,34337.59
16837,3679,47741.26
12955,3664,36287.4
14191,3662,35380.97
15150,3658,41899.8
12477,3653,50865.6
15218,3636,38171.06
12766,3627,40429.88
14688,3621,39668.7
12428,3594,41864.41
13268,3582,37536.5
15249,3577,39734.4
17730,3576,39898.7
12876,3572,44396.47
13178,3570,32603.11
16549,3569,39969.38
16033,3537,43809.54
17509,3534,42487.2
15372,3526,37907.99
14146,3523,32019.31
13709,3516,40338.64
13269,3514,37039.17
15529,3495,38059.1
15544,3473,37094.27
13113,3472,47733.65
18226,3466,34784.38
13148,3458,42171.97
14051,3455,45799.99
15046,3450,39660.91
16240,3448,45321.49
13985,3447,35035.54
13225,3419,31305.92
16923,3417,38918.36
12626,3416,38860.21
15805,3387,38467.53
13750,3374,54837.85
14132,3368,35399.63
17243,3366,39657.42
15786,3364,39285.12
12619,3360,35213.99
12714,3357,33836.55
14952,3355,42627.91
12481,3345,38509.41
14415,3320,32660.13
17757,3319,36644.92
13599,3292,33550.0
16652,3285,40615.33
14085,3256,34465.37
18225,3244,34304.98
16253,3233,36912.0
17716,3203,37618.14
12757,3202,32617.48
13756,3188,35456.83
18172,3184,38633.44
12841,3182,36652.08
16931,3158,34339.07
15484,3152,31117.43
17651,3137,31376.22
14776,3134,34723.1
12726,3132,34574.16
16145,3123,34302.13
15298,3116,32596.3
17338,3110,38595.23
18073,3104,35736.26
15114,3096,34318.34
17593,3095,31509.62
14329,3095,34025.59
17426,3094,33313.03
13871,3082,36406.34
15727,3065,35206.72
14426,3056,37372.79
15144,3050,33408.08
13988,3044,34906.85
12490,3033,30866.64
17512,3029,35003.71
12688,3028,35660.99
16983,3028,25193.99
16186,3020,32765.11
13468,3011,36521.54
16258,2994,34683.03
12637,2991,34186.79
15738,2982,35497.4
13451,2981,36597.16
13949,2971,30393.34
15032,2968,21334.49
13534,2963,25912.69
15299,2947,34203.27
18223,2945,33450.55
12700,2944,30043.5
12989,2943,36804.07
12553,2927,33396.7
12431,2908,35118.12
14422,2906,33035.84
12437,2894,33137.62
14456,2871,28949.64
15023,2862,34039.55
18118,2861,33110.27
16607,2859,32736.35
17160,2854,27524.79
17203,2850,32786.12
16672,2832,36868.58
14944,2815,34897.01
12536,2804,32970.54
17133,2795,32885.99
15044,2793,36061.35
12779,2787,34260.57
14418,2785,28750.33
15301,2775,33082.71
17858,2773,32418.88
16814,2761,34505.8
15065,2760,35954.43
14505,2756,33283.74
16219,2744,20078.03
12627,2739,27855.8
16945,2737,25520.27
13911,2731,30575.78
15719,2724,28340.06
13953,2724,29945.4
15152,2704,29483.43
13162,2702,31908.11
17364,2701,30254.25
12357,2699,33893.72
14525,2696,31919.35
16626,2690,29243.19
17049,2673,29252.41
14004,2669,28123.01
14547,2668,25946.55
14282,2668,24948.46
12500,2666,31366.81
13555,2660,30730.17
16303,2659,28756.33
