CustomerNo,TotalQuantity,TotalPrice
17490.0,1134,13538.070000000003
13069.0,5885,63353.94
12433.0,11062,115454.49
13426.0,2245,25893.59
17364.0,2701,30254.25
14441.0,446,6326.479999999999
16446.0,80997,1002741.5700000001
17389.0,7612,98926.42000000001
17001.0,2164,21680.739999999998
15694.0,1680,21902.34
17428.0,9474,99827.67000000001
16954.0,1054,11507.909999999998
15492.0,2493,18230.28
12423.0,1377,14766.41
12518.0,1306,14202.720000000003
14051.0,3455,45799.990000000005
16558.0,5377,58736.0
17497.0,1670,16972.33
14498.0,1827,17455.59
15344.0,1718,11919.04
12985.0,1844,18503.760000000002
15910.0,1016,9999.259999999998
17754.0,1869,17317.500000000004
14422.0,2906,33035.840000000004
14446.0,873,9221.46
18102.0,64124,897137.3600000001
16626.0,2690,29243.190000000002
12662.0,2041,22606.22
15311.0,38124,392033.08999999997
16705.0,5476,65877.78
12526.0,624,6572.169999999998
12713.0,505,3270.2500000000005
17581.0,5927,56242.149999999994
12748.0,25514,271206.94
13777.0,14565,150785.02000000002
15804.0,2564,29149.14
13113.0,3472,47733.649999999994
12680.0,439,4628.29
14251.0,1674,16311.6
13408.0,16232,175237.05
16523.0,4265,38010.69
16217.0,1942,13121.48
14191.0,3662,35380.97
16219.0,2744,20078.03
13924.0,1575,13751.0
17856.0,1338,16025.830000000002
14520.0,146,930.04
15237.0,1081,12151.179999999998
17631.0,334,3185.55
17677.0,9775,83135.63
14291.0,3704,34318.25
12358.0,1826,23772.82
13436.0,76,516.6400000000001
13468.0,3011,36521.54
15443.0,1663,16842.32
16238.0,691,4454.74
15520.0,316,1974.3000000000002
15453.0,845,9692.66
18210.0,1398,14888.3
14129.0,592,6713.999999999999
16891.0,288,3538.6100000000006
12256.0,1075,6606.82
12621.0,7379,78791.82999999999
12437.0,2894,33137.619999999995
18109.0,4237,47594.26999999999
13394.0,2392,26096.450000000004
14135.0,3862,43102.869999999995
16442.0,446,4502.860000000001
14217.0,689,8174.249999999999
15877.0,371,2386.9100000000003
15187.0,1886,19566.239999999998
15159.0,11441,129213.38
17841.0,23050,255508.58000000002
15214.0,1254,13178.1
16161.0,2594,26147.97
14646.0,197420,2112282.0300000003
17315.0,3862,44542.2
14698.0,615,6700.83
17830.0,92,1128.16
13314.0,560,5576.619999999999
17436.0,90,877.26
17522.0,1408,16375.619999999999
16210.0,7558,84327.78000000001
14719.0,1320,13628.77
14138.0,610,6037.79
17673.0,1487,16417.8
13954.0,150,1358.69
13102.0,4204,47801.350000000006
16933.0,907,11189.86
13860.0,591,5269.3
15399.0,694,6887.040000000001
13298.0,96,594.24
16892.0,239,2268.0899999999997
15189.0,6149,74866.47
17668.0,93,867.3699999999999
17243.0,3366,39657.42
17528.0,2138,22264.02
14056.0,4280,48262.270000000004
17644.0,2132,22780.41
14653.0,949,9670.52
13510.0,1807,19800.96
13680.0,1936,19368.730000000003
13521.0,733,4661.89
13263.0,4773,52119.89
13098.0,15968,160510.77
17554.0,2401,27716.96
14415.0,3320,32660.13
16833.0,441,4527.54
14730.0,1134,12557.29
13269.0,3514,37039.17
14569.0,79,496.36000000000007
13013.0,2224,27081.9
17451.0,1203,11227.880000000005
15484.0,3152,31117.43
16358.0,1302,12928.040000000003
15898.0,570,5876.700000000001
16688.0,1560,18303.509999999995
13890.0,1241,14671.29
14796.0,5989,67479.65
17757.0,3319,36644.92
13404.0,111,1324.7599999999998
16322.0,231,2251.8999999999996
13471.0,2142,22625.94
15431.0,14,86.66
