CustomerNo,TotalQuantity,TotalMoney
13069,5885,63353.94
12433,11062,115454.49
16446,80997,1002741.57
17389,7612,98926.42
17428,9474,99827.67
14051,3455,45799.99
18102,64124,897137.36
15311,38124,392033.09
16705,5476,65877.78
17581,5927,56242.15
12748,25514,271206.94
13777,14565,150785.02
13408,16232,175237.05
16523,4265,38010.69
17677,9775,83135.63
12621,7379,78791.83
15159,11441,129213.38
17841,23050,255508.58
14646,197420,2112282.03
15189,6149,74866.47
13098,15968,160510.77
14796,5989,67479.65
13798,23948,248927.53
14911,80383,914633.52
17675,8359,97116.99
17949,30450,348200.27
14606,6205,72822.38
13089,31110,354882.55
17017,6684,71541.05
17511,64549,639006.19
14769,7435,85049.39
13685,5061,51381.95
16000,5110,31630.9
15498,6105,70473.34
18092,4252,51683.72
17434,5130,64654.95
13767,7955,98939.8
12471,8104,91010.72
17735,8439,80240.9
13694,63860,646116.78
16013,15845,194081.07
16133,8887,99873.97
15061,28920,333977.12
12971,9289,100914.98
13881,10118,111928.38
15194,5703,61262.55
13078,5630,64169.67
14194,6243,71834.95
17857,14822,168410.98
16592,5834,68601.81
15856,11002,119379.62
16684,49955,528587.34
13001,5505,63683.15
17404,32744,365681.2
14096,16334,177814.26
16729,8235,78722.12
13319,4724,55079.03
14895,4851,57562.84
14146,3523,32019.31
16333,32184,349966.24
15769,29672,204746.44
13458,5508,62678.34
15078,5105,44586.91
14031,5694,74320.62
16839,8975,100974.75
12901,23075,244287.79
16700,4024,41255.13
16701,6393,67187.77
17381,25649,281942.68
14298,58343,636167.17
17450,69993,891438.53
14156,57845,694965.02
15039,9200,100664.72
14258,6980,75235.94
12524,4971,57952.31
12921,9526,94853.69
12451,6660,74247.09
14866,6756,82481.14
17306,11491,120657.73
15615,5508,56739.98
14088,12649,152390.56
13081,19154,212622.48
15838,18403,189064.64
15601,4983,56946.91
17365,4765,51335.57
12681,7457,86451.58
13256,12540,77622.6
17139,5182,52971.44
15482,5019,50403.34
14607,10734,107942.72
16722,5001,49517.84
16422,33704,381043.45
12540,6620,79521.3
14849,5695,64599.98
12931,28574,320853.1
12477,3653,50865.6
12753,11421,136322.73
16656,8894,100009.66
12731,8429,102510.58
12640,2502,37688.39
13629,4372,30492.24
17596,4658,50791.94
16240,3448,45321.49
12415,77669,900545.54
14365,13956,184148.76
15125,6193,65083.36
14680,13475,126356.73
17340,5967,73680.41
16187,5824,65886.45
15941,14149,184880.85
15513,5709,73038.72
12830,10154,112345.34
16029,40207,435532.14
14585,5286,67937.22
12678,10997,120696.22
16843,10159,108933.74
13340,5770,66186.45
18079,7432,79916.55
14800,3694,41273.59
17940,9754,102301.66
13750,3374,54837.85
12744,5234,63480.95
14609,7026,72625.26
16182,4224,32235.68
15475,4455,53161.91
12409,5551,66730.26
16745,6735,73016.24
16180,5867,44407.4
13027,17280,184204.8
16553,4600,53013.4
14351,2241,35208.91
15749,18028,230408.4
14203,5963,78231.14
15032,2968,21334.49
12346,74215,840113.8
14877,2153,34630.67
14982,1834,29038.07
