,TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,TotalMoney,Month,Year
1616,C581484,2019-12-09,23843,Paper Craft Little Birdie,6.19,-80995,16446.0,United Kingdom,-501359.05000000005,12,2019
1617,C581490,2019-12-09,22178,Victorian Glass Hanging T-Light,6.19,-12,14397.0,United Kingdom,-74.28,12,2019
1618,C581490,2019-12-09,23144,Zinc T-Light Holder Stars Small,6.04,-11,14397.0,United Kingdom,-66.44,12,2019
1619,C581568,2019-12-09,21258,Victorian Sewing Box Large,6.19,-5,15311.0,United Kingdom,-30.950000000000003,12,2019
1620,C581569,2019-12-09,84978,Hanging Heart Jar T-Light Holder,6.19,-1,17315.0,United Kingdom,-6.19,12,2019
1621,C581569,2019-12-09,20979,36 Pencils Tube Red Retrospot,6.19,-5,17315.0,United Kingdom,-30.950000000000003,12,2019
6476,C581228,2019-12-08,22423,Regency Cakestand 3 Tier,6.19,-6,16019.0,United Kingdom,-37.14,12,2019
6477,C581228,2019-12-08,23210,White Rocking Horse Hand Painted,6.19,-12,16019.0,United Kingdom,-74.28,12,2019
6478,C581228,2019-12-08,82494L,Wooden Frame Antique White,6.19,-6,16019.0,United Kingdom,-37.14,12,2019
6479,C581228,2019-12-08,22781,Gumball Magazine Rack,6.19,-24,16019.0,United Kingdom,-148.56,12,2019
6480,C581228,2019-12-08,22467,Gumball Coat Rack,6.19,-36,16019.0,United Kingdom,-222.84,12,2019
6481,C581229,2019-12-08,84828,Jungle Popsicles Ice Lolly Moulds,6.19,-24,12558.0,USA,-148.56,12,2019
6482,C581229,2019-12-08,79191C,Retro Plastic Elephant Tray,6.19,-24,12558.0,USA,-148.56,12,2019
6483,C581229,2019-12-08,23392,Spaceboy Rocket Lolly Makers,6.19,-24,12558.0,USA,-148.56,12,2019
6484,C581229,2019-12-08,23158,Set Of 5 Lucky Cat Magnets,6.19,-36,12558.0,USA,-222.84,12,2019
6485,C581229,2019-12-08,22712,Card Dolly Girl,6.19,-12,12558.0,USA,-74.28,12,2019
6486,C581229,2019-12-08,22027,Tea Party Birthday Card,6.19,-12,12558.0,USA,-74.28,12,2019
6487,C581229,2019-12-08,21508,Vintage Kid Dolly Card,6.19,-12,12558.0,USA,-74.28,12,2019
6488,C581229,2019-12-08,21507,Elephant Birthday Card,6.19,-12,12558.0,USA,-74.28,12,2019
6489,C581229,2019-12-08,85099B,Jumbo Bag Red Retrospot,6.19,-10,12558.0,USA,-61.900000000000006,12,2019
6490,C581229,2019-12-08,23344,Jumbo Bag 50'S Christmas,6.19,-10,12558.0,USA,-61.900000000000006,12,2019
6491,C581229,2019-12-08,23209,Lunch Bag Vintage Doily,6.19,-20,12558.0,USA,-123.80000000000001,12,2019
6492,C581235,2019-12-08,23243,Set Of Tea Coffee Sugar Tins Pantry,6.19,-1,15950.0,United Kingdom,-6.19,12,2019
6493,C581235,2019-12-08,22840,Round Cake Tin Vintage Red,6.19,-2,15950.0,United Kingdom,-12.38,12,2019
6494,C581235,2019-12-08,23459,Dolly Cabinet 2 Drawers,6.19,-2,15950.0,United Kingdom,-12.38,12,2019
6495,C581235,2019-12-08,23273,Heart T-Light Holder Willie Winkie,6.19,-1,15950.0,United Kingdom,-6.19,12,2019
6496,C581235,2019-12-08,22423,Regency Cakestand 3 Tier,6.19,-1,15950.0,United Kingdom,-6.19,12,2019
6497,C581305,2019-12-08,22627,Mint Kitchen Scales,6.19,-1,16933.0,United Kingdom,-6.19,12,2019
