,CustomerNo,TotalQuantity,TotalMoney,Clusters
0,17490.0,1134.0,13538.07,0
3,13426.0,2245.0,25893.59,1
5,14441.0,446.0,6326.48,0
8,17001.0,2164.0,21680.74,1
9,15694.0,1680.0,21902.34,1
11,16954.0,1054.0,11507.91,0
13,12423.0,1377.0,14766.41,1
14,12518.0,1306.0,14202.72,1
17,17497.0,1670.0,16972.33,1
18,14498.0,1827.0,17455.59,1
19,15344.0,1718.0,11919.04,0
20,12985.0,1844.0,18503.76,1
21,15910.0,1016.0,9999.26,0
22,17754.0,1869.0,17317.5,1
24,14446.0,873.0,9221.46,0
27,12662.0,2041.0,22606.22,1
30,12526.0,624.0,6572.17,0
31,12713.0,505.0,3270.25,2
37,12680.0,439.0,4628.29,2
38,14251.0,1674.0,16311.6,1
41,16217.0,1942.0,13121.48,0
44,13924.0,1575.0,13751.0,0
45,17856.0,1338.0,16025.83,1
46,14520.0,146.0,930.04,2
47,15237.0,1081.0,12151.18,0
48,17631.0,334.0,3185.55,2
51,12358.0,1826.0,23772.82,1
52,13436.0,76.0,516.64,2
54,15443.0,1663.0,16842.32,1
55,16238.0,691.0,4454.74,2
56,15520.0,316.0,1974.3,2
57,15453.0,845.0,9692.66,0
58,18210.0,1398.0,14888.3,1
59,14129.0,592.0,6714.0,0
60,16891.0,288.0,3538.61,2
61,12256.0,1075.0,6606.82,0
67,16442.0,446.0,4502.86,2
68,14217.0,689.0,8174.25,0
69,15877.0,371.0,2386.91,2
70,15187.0,1886.0,19566.24,1
73,15214.0,1254.0,13178.1,0
77,14698.0,615.0,6700.83,0
78,17830.0,92.0,1128.16,2
79,13314.0,560.0,5576.62,2
80,17436.0,90.0,877.26,2
81,17522.0,1408.0,16375.62,1
83,14719.0,1320.0,13628.77,0
84,14138.0,610.0,6037.79,0
85,17673.0,1487.0,16417.8,1
86,13954.0,150.0,1358.69,2
88,16933.0,907.0,11189.86,0
89,13860.0,591.0,5269.3,2
90,15399.0,694.0,6887.04,0
91,13298.0,96.0,594.24,2
92,16892.0,239.0,2268.09,2
94,17668.0,93.0,867.37,2
96,17528.0,2138.0,22264.02,1
98,17644.0,2132.0,22780.41,1
99,14653.0,949.0,9670.52,0
100,13510.0,1807.0,19800.96,1
101,13680.0,1936.0,19368.73,1
102,13521.0,733.0,4661.89,2
107,16833.0,441.0,4527.54,2
108,14730.0,1134.0,12557.29,0
110,14569.0,79.0,496.36,2
111,13013.0,2224.0,27081.9,1
112,17451.0,1203.0,11227.88,0
114,16358.0,1302.0,12928.04,0
115,15898.0,570.0,5876.7,0
116,16688.0,1560.0,18303.51,1
117,13890.0,1241.0,14671.29,1
120,13404.0,111.0,1324.76,2
121,16322.0,231.0,2251.9,2
122,13471.0,2142.0,22625.94,1
123,15431.0,14.0,86.66,2
127,14435.0,2.0,12.38,2
128,17491.0,2013.0,20737.08,1
129,14621.0,993.0,9385.81,0
131,15439.0,1747.0,11119.98,0
132,13536.0,2136.0,21238.91,1
133,13026.0,1620.0,15401.16,1
134,17405.0,726.0,7674.74,0
135,15208.0,426.0,5413.25,2
136,16794.0,936.0,9013.38,0
137,17144.0,483.0,5025.54,2
140,15156.0,597.0,5097.06,2
141,17530.0,1788.0,19622.35,1
143,13318.0,304.0,2903.18,2
144,13077.0,863.0,8520.32,0
146,14702.0,1454.0,17333.93,1
147,15796.0,860.0,10326.49,0
150,14708.0,621.0,6227.33,0
151,16539.0,930.0,8567.96,0
152,12828.0,494.0,4974.54,2
153,12912.0,670.0,5512.84,2
155,17503.0,486.0,4215.73,2
156,14397.0,1890.0,19764.28,1
158,16458.0,2154.0,18571.38,1
160,14141.0,355.0,4112.4,2
161,14910.0,238.0,2348.79,2
162,13743.0,1811.0,18820.77,1
163,14794.0,673.0,6267.63,0
166,12826.0,1055.0,10393.34,0
167,13023.0,1355.0,12316.55,0
168,17091.0,1746.0,17273.64,1
170,16817.0,822.0,9354.49,0
171,15969.0,124.0,1685.3,2
172,13267.0,1969.0,22997.09,1
173,13882.0,953.0,8586.57,0
175,15568.0,982.0,11351.97,0
176,17238.0,1821.0,19801.69,1
177,17412.0,738.0,7409.18,0
179,18219.0,885.0,10469.52,0
180,17835.0,348.0,2992.59,2
183,15984.0,1843.0,17846.59,1
185,14534.0,2046.0,23311.07,1
186,14527.0,2087.0,26090.68,1
187,15195.0,1404.0,8690.76,0
188,17232.0,203.0,1286.72,2
189,15136.0,776.0,7528.04,0
190,17042.0,994.0,10745.62,0
192,15750.0,1786.0,18837.8,1
193,14087.0,251.0,1700.99,2
194,18272.0,2050.0,22758.63,1
196,18237.0,622.0,6911.94,0
197,16393.0,1576.0,14775.12,1
198,17590.0,826.0,8931.82,0
199,14904.0,1985.0,15133.16,1
200,16368.0,260.0,2435.21,2
202,18273.0,80.0,892.4,2
204,12950.0,1380.0,9659.92,0
205,13870.0,1325.0,15732.68,1
207,14204.0,82.0,507.58,2
210,16426.0,1242.0,12094.43,0
211,15471.0,266.0,1640.16,2
212,17266.0,161.0,1239.4,2
213,12747.0,1275.0,15438.2,1
214,14395.0,1693.0,19410.3,1
215,15701.0,923.0,9618.3,0
216,15525.0,694.0,7941.46,0
220,12615.0,1362.0,14117.8,1
222,17870.0,1529.0,15581.09,1
223,13769.0,1163.0,13953.19,0
224,14032.0,2032.0,22796.67,1
228,12783.0,611.0,6599.98,0
229,12569.0,1747.0,19139.07,1
233,17449.0,1124.0,13054.8,0
234,15883.0,223.0,1813.56,2
235,17097.0,459.0,4469.7,2
237,12935.0,1853.0,19074.18,1
238,16197.0,12.0,74.93,2
239,16929.0,929.0,8767.08,0
241,17728.0,1469.0,15663.12,1
242,12716.0,1371.0,15550.62,1
243,14140.0,811.0,7784.54,0
244,17666.0,596.0,5553.68,2
245,17739.0,866.0,10669.07,0
247,12584.0,413.0,5498.41,2
248,15748.0,56.0,706.78,2
249,12749.0,1470.0,17525.86,1
250,12478.0,233.0,1547.87,2
252,13754.0,1193.0,9519.51,0
253,14737.0,564.0,8004.79,0
254,12723.0,433.0,3772.94,2
257,12877.0,1178.0,12768.1,0
259,14562.0,1834.0,22293.9,1
260,16015.0,908.0,8419.03,0
261,15992.0,17.0,105.23,2
262,13994.0,940.0,11786.41,0
264,16949.0,1252.0,16665.45,1
267,15318.0,642.0,4119.78,2
268,17884.0,854.0,8144.14,0
269,14825.0,1425.0,15790.69,1
271,16764.0,1259.0,13261.43,0
272,18005.0,92.0,806.35,2
273,16790.0,898.0,9359.23,0
274,17914.0,473.0,2957.59,2
275,18283.0,1395.0,12114.61,0
277,14735.0,2263.0,24485.89,1
279,14071.0,957.0,10502.31,0
280,17250.0,168.0,1487.43,2
281,14113.0,745.0,8344.48,0
282,17346.0,1657.0,16694.78,1
283,14121.0,2082.0,18803.6,1
284,16620.0,88.0,776.02,2
286,16979.0,865.0,10287.81,0
287,15907.0,508.0,4766.57,2
288,16353.0,2005.0,24551.09,1
289,13755.0,1404.0,15927.96,1
291,17481.0,1061.0,10079.0,0
293,17290.0,403.0,2598.72,2
294,16528.0,171.0,1089.89,2
296,16313.0,165.0,1498.83,2
297,13104.0,504.0,5505.24,2
298,13507.0,1597.0,16866.39,1
299,16495.0,352.0,3277.35,2
302,14503.0,2004.0,20398.81,1
303,14871.0,185.0,1933.01,2
304,17705.0,963.0,9594.0,0
305,16143.0,919.0,11275.01,0
306,14907.0,1693.0,18872.61,1
307,12442.0,181.0,1297.84,2
308,14673.0,1004.0,10324.54,0
309,16016.0,620.0,6894.9,0
310,14572.0,1428.0,17276.67,1
311,17119.0,333.0,3844.79,2
312,14868.0,1405.0,15651.9,1
313,15822.0,375.0,3420.63,2
314,12417.0,1527.0,17859.88,1
315,14216.0,593.0,5248.0,2
316,16076.0,1435.0,16260.48,1
