TransactionNo,TotalQuantity,TotalMoney
581482,228,84.78
581475,352,213.81
581476,2215,825.45
581477,144,126.14
581478,226,234.92000000000002
581479,10,13.27
581480,84,133.26999999999998
581481,234,183.19000000000003
581483,80995,12.38
581485,114,52.53
581486,218,112.44999999999999
581487,120,6.04
581488,56,18.12
581489,72,14.48
581491,12,7.24
581492,2010,4645.45
581493,202,114.79
581494,186,104.93
581495,240,86.50999999999999
581496,496,207.38000000000002
581497,654,402.41
581498,729,1379.0199999999998
581500,10,21.72
581501,692,171.66
581502,158,144.8
581514,405,150.06
581516,179,92.85
581538,121,467.0
581566,144,6.19
581567,365,74.28
581570,95,74.28
581571,270,123.8
581572,60,24.76
581574,86,74.28
581578,505,240.43
581579,476,190.50000000000003
581580,82,173.76
581581,22,21.72
581582,18,13.629999999999999
581583,76,14.48
581584,120,14.48
581585,278,141.73999999999998
581586,66,24.76
581587,105,92.85
581214,224,61.9
581215,272,49.52
581216,468,166.41000000000003
581217,1851,4296.4
581218,476,213.83000000000004
581219,2149,4738.26
581220,642,166.98
581221,264,33.050000000000004
581222,46,21.72
581223,88,48.58
581224,149,61.9
581225,444,117.46000000000001
581227,12,12.38
581230,494,210.46
581231,4,6.19
581232,120,30.950000000000003
581233,76,78.47999999999999
581236,186,62.01
581237,181,340.45
581238,691,1301.72
581241,314,111.42
581246,67,190.95
581251,52,68.09
581252,86,49.52
581253,28,117.46000000000001
581256,1074,381.11
581266,987,346.64
581279,18,12.38
581281,191,88.86999999999999
581285,174,80.58
581291,109,49.52
581310,92,444.92999999999995
581324,28,37.14
581325,196,123.8
581327,214,82.67999999999999
581333,21,36.2
581334,475,874.27
581335,152,72.63999999999999
581336,91,98.25
581338,140,6.04
581345,131,99.04
581352,102,308.86
581356,27,43.33
581357,189,92.85
581358,42,30.950000000000003
581361,102,37.14
581375,1056,74.28
581376,253,345.81
581377,151,86.66
581378,93,142.37
581379,101,74.13
581380,77,42.88
581381,161,164.91000000000003
581382,223,137.3
581383,188,111.27000000000001
581385,96,12.38
581394,4,6.19
581395,35,128.0
581396,90,18.57
581397,62,43.33
581398,122,55.71
581399,198,86.66
581400,190,321.28
581401,256,158.08999999999997
581402,186,221.19
581403,254,129.69
581404,324,401.6699999999999
581405,300,1176.5300000000002
581407,123,297.12
581410,1069,175.12
581411,78,37.14
581412,694,709.1500000000001
581413,134,91.78999999999999
581414,184,448.63999999999993
581415,226,74.13
581416,79,79.53
581417,110,56.870000000000005
581418,154,80.32
581419,740,166.68
581420,432,240.8
581421,146,78.47999999999999
581423,52,37.14
581424,63,55.71
581425,367,544.3999999999999
581426,104,149.72000000000003
581427,70,86.87999999999998
581428,12,14.48
581429,111,65.16
581430,48,28.96
581431,14,43.33
581432,272,28.96
581433,806,467.5799999999999
581434,70,37.14
581435,2,12.38
581436,278,92.85
581437,254,97.84
581438,268,74.28
581439,1747,4061.35
581442,59,55.56
581443,492,86.66
581445,164,86.21
581448,48,55.71
581449,22,117.46000000000001
581450,64,190.04999999999998
581451,132,154.6
581452,324,115.47
581453,454,126.00999999999999
581454,91,61.599999999999994
581455,140,68.09
581456,170,242.31
581457,2414,72.89000000000001
581458,1500,6.04
581459,1200,6.04
581461,84,24.46
581467,256,322.81000000000006
581469,64,222.42000000000002
581471,76,166.98
581472,139,105.23
581473,55,197.18
581474,24,148.56
581000,163,111.42
581001,309,111.42
581002,211,86.66
581003,817,400.46999999999997
581004,56,43.33
581005,67,30.950000000000003
581006,609,328.18000000000006
581007,88,14.48
581008,156,14.48
581010,273,92.39999999999999
581011,176,37.14
581013,424,80.47
581014,86,36.84
581015,673,281.62000000000006
581016,77,72.39999999999999
581017,80,57.92
581018,360,50.68000000000001
581019,158,88.86999999999999
581020,3295,247.3
581021,201,148.41
581022,62,37.14
581023,765,1345.69
581027,180,136.12
581034,234,123.8
581057,153,102.89999999999998
581058,32,24.76
581059,114,92.85
581064,324,86.66
581068,177,30.950000000000003
581074,180,105.23
581095,78,74.28
581096,86,61.9
581097,600,6.19
581098,566,324.20000000000005
581099,139,86.87999999999998
581101,65,137.56
581104,174,132.2
581105,4340,43.33
581107,620,6.19
581108,342,55.71
581110,150,6.19
581112,210,85.46000000000002
581113,83,92.69999999999999
581114,60,190.68999999999997
581115,1404,6.19
581116,93,128.11
581118,126,87.52
581119,38,18.42
581120,102,57.81000000000001
581122,487,224.44000000000005
581123,205,137.56
581125,251,474.90999999999997
581126,254,142.37
581129,450,222.84
581130,85,49.370000000000005
581131,140,136.18
581132,143,92.85
581133,1392,294.96
581134,136,317.62000000000006
581135,152,43.18
581136,20,6.04
581137,246,92.69999999999999
581138,500,24.76
581139,516,43.33
581140,57,24.76
581141,315,123.8
581142,82,272.36
581143,32,12.38
581144,275,92.85
581146,902,741.8999999999999
581147,175,258.40000000000003
581149,266,474.78999999999996
581150,13,49.52
581163,122,43.33
581164,248,361.94
581165,264,179.51
581166,128,501.38999999999993
581167,180,86.66
581168,154,74.28
581169,238,64.0
581170,418,65.16
581171,247,121.81
581172,284,37.14
581173,279,316.85
581174,148,106.84
581175,7366,496.53000000000003
581176,452,49.52
581177,88,12.38
581179,889,229.78000000000003
581180,192,70.39
581181,322,111.27000000000001
581182,138,99.94
581183,134,64.31
581184,22,28.96
581185,72,21.72
581186,120,49.72
581187,292,68.09
581188,1016,290.25
581191,147,367.96
581192,151,178.45999999999998
581193,92,346.32
581194,434,111.42
581195,6,6.19
581196,324,118.82
581197,12,50.47
580733,206,74.28
580734,263,134.39000000000001
580735,321,196.88000000000002
580736,203,150.97000000000003
580737,294,166.39000000000001
580738,240,37.14
580739,5,12.38
580742,700,30.950000000000003
580744,1640,105.23
580745,100,6.19
580746,45,56.019999999999996
580748,5,24.76
580750,227,245.81
580752,233,232.65
580753,300,202.61
580754,979,519.1800000000001
580755,42,12.38
580756,24,24.76
580757,209,160.49
580758,16,12.38
580759,840,299.22
580760,138,50.769999999999996
580763,192,12.38
580765,24,6.19
580771,276,254.82000000000002
580772,17,18.57
580774,26,32.0
580775,20,7.24
580776,96,181.0
580777,95,75.44
580778,92,43.33
580808,626,136.18
580816,482,222.84
580819,642,212.32000000000002
580820,2,12.58
580822,299,147.96
580830,79,36.54
580831,789,382.63
580833,96,325.80000000000007
580848,44,249.57999999999998
580852,126,67.19
580865,473,504.7299999999999
580872,142,309.35
580873,1410,106.69999999999997
580874,234,100.14
580875,1152,333.51
580876,116,401.80999999999995
580877,98,213.44000000000005
580878,231,79.63999999999999
580879,66,222.74000000000007
580880,694,253.86
580881,40,24.7
580882,38,18.45
580883,58,85.91000000000001
580884,252,810.1500000000001
580885,72,6.19
580887,80,154.39000000000001
580888,96,6.19
580889,12,55.71
580890,176,18.57
580891,158,100.15999999999998
580892,180,21.72
580893,127,322.27000000000004
580894,188,24.76
580901,171,109.83
580902,336,32.2
580903,107,445.46999999999997
580904,180,206.41000000000008
580905,99,38.19
580906,108,24.76
580907,385,209.44000000000003
580908,171,411.79999999999995
580909,160,97.99000000000001
580910,864,43.16
580911,227,135.24
580914,71,223.31
580915,74,63.96
580916,9,65.16
580937,204,150.73
580939,268,129.69000000000003
580955,181,78.58999999999999
580956,698,1168.4700000000003
580958,121,362.6500000000001
580959,217,108.59999999999997
580960,76,224.97000000000003
580961,15,24.46
580962,28,24.76
580963,145,80.02000000000001
580964,215,105.17000000000002
580965,172,116.67999999999999
580967,72,37.14
580969,82,43.33
580972,758,173.54000000000002
580973,115,74.88
580974,282,129.99
580975,24,6.19
580977,93,30.950000000000003
580978,552,55.71
580979,218,181.01
580980,461,166.11
580981,336,185.7
580982,452,395.10999999999996
580983,1649,4020.46
580984,344,30.950000000000003
580985,1160,119.92999999999999
580986,250,120.42999999999999
580987,96,6.19
580988,102,61.9
580992,60,37.14
580993,64,24.76
580996,240,148.11
580997,325,463.63999999999993
580998,75,148.77999999999997
580999,177,290.63000000000005
580730,1857,5649.52
580538,202,49.22
580539,267,135.45999999999998
580540,90,116.61
580541,632,348.65000000000003
580542,18,18.57
580543,286,142.25
580544,238,153.57
580545,127,83.44
580548,6,18.45
580550,448,185.64
580552,94,61.9
580553,408,129.51
580554,88,12.38
580555,184,74.1
580556,44,14.48
580557,34,29.39
580558,60,36.2
580559,96,65.59
580595,224,145.27
580596,207,91.65000000000002
580598,170,55.35
580599,282,137.99999999999997
580600,147,172.57
580601,4,6.19
580602,140,45.410000000000004
580603,348,137.99
580606,32,14.48
580607,156,50.68000000000001
580608,84,72.83
580610,947,1772.11
580611,283,682.9900000000002
580612,848,1657.3400000000001
580613,322,309.38
580614,18,14.48
580615,1005,484.46000000000004
580619,472,191.25
580622,84,55.53
580630,522,74.28
580631,170,42.39
580632,497,983.1200000000002
580633,128,239.78000000000003
580634,192,55.41
580635,353,563.28
580636,654,222.84
580637,138,266.17
580638,91,37.019999999999996
580639,101,371.58000000000004
580640,147,585.1700000000002
580642,34,12.38
580643,161,109.13
580644,239,262.92
580645,878,12.38
580646,800,6.19
580647,321,457.93999999999994
580648,146,74.1
580650,458,178.9
580651,81,43.440000000000005
580652,3920,221.43
580653,322,137.33999999999997
580654,95,219.59000000000003
580655,25,24.700000000000003
580656,123,51.0
580657,191,123.13
580658,122,30.950000000000003
580659,81,158.23000000000002
580660,608,245.62000000000006
580661,53,117.83
580662,334,50.68000000000001
580663,10,7.24
580664,170,153.79
580665,4732,202.61000000000007
580666,32,7.24
580667,56,238.92000000000002
580668,4,25.94
580669,618,240.46
580670,97,55.71
580671,444,117.46000000000001
580672,236,513.73
580673,1892,447.92
580674,7,21.72
580675,598,253.63000000000002
580676,41,128.97
580677,292,780.7099999999999
580678,157,303.6400000000001
580679,191,101.35999999999997
580680,305,107.63999999999997
580681,44,24.52
580682,228,97.12
580683,2,14.48
580684,156,58.019999999999996
580685,216,100.93
580687,226,104.24
580688,43,72.75999999999999
580689,156,125.44999999999999
580690,184,42.910000000000004
580691,748,275.4
580692,163,136.11
580693,204,74.09
580694,283,114.78
580695,228,757.07
580696,93,139.79000000000002
580697,397,283.01
580699,2,14.48
580700,78,50.68000000000001
580704,40,7.24
580705,467,213.5
580709,2,13.629999999999999
580712,134,108.59999999999997
580713,21,36.2
580715,5,6.13
580716,172,72.39999999999999
580717,125,43.440000000000005
580718,24,7.24
580719,264,41.06
580720,165,424.56000000000006
580721,242,140.24999999999997
580722,74,30.65
580723,407,202.8
580724,2,12.1
580725,394,124.82
580727,2191,3456.49
580728,128,48.879999999999995
580729,2455,4701.25
580731,150,320.85999999999996
580732,16,24.76
580384,229,92.85
580385,65,148.56
580386,50,61.9
580387,41,37.14
580388,73,42.879999999999995
580389,119,111.42
580393,95,134.29999999999998
580394,152,41.34
580395,293,122.23
580396,94,346.59999999999997
580397,69,222.54000000000002
580398,120,18.57
580399,532,917.5100000000001
580400,86,99.34999999999998
580401,84,74.28
580402,336,235.22
580403,143,266.17
580404,192,111.42
580405,72,92.85
580419,149,112.27999999999999
580431,111,36.2
580432,418,108.59999999999997
580434,40,157.41000000000003
580436,44,18.57
580438,47,30.950000000000003
580441,114,80.47
580460,44,55.71
580468,84,235.22
580469,220,648.7
580482,206,463.99999999999994
580490,311,65.05000000000001
580500,418,401.7
580501,235,462.21999999999997
580502,333,518.0799999999999
580503,51,129.99
580504,262,481.72999999999996
580505,258,229.03
580506,128,55.71
580508,20,92.7
580509,210,123.8
580511,286,181.83
580512,178,111.42
580513,534,748.6800000000001
580514,159,171.29000000000002
580515,268,80.47
580516,280,431.45000000000005
580517,200,92.85
580518,298,85.18999999999998
580519,938,407.41
580520,253,809.1400000000003
580521,1,6.19
580523,286,407.71
580524,90,68.09
580525,120,24.76
580526,356,190.98999999999995
580527,269,746.05
580528,534,185.54999999999998
580529,24,92.85
580530,90,30.950000000000003
580531,33,18.12
580532,248,36.84
580533,18,6.19
580534,74,42.58
580535,43,42.28
580536,252,152.65
580537,16,61.9
580138,60,18.57
580139,70,30.950000000000003
580140,421,259.98
580141,12,6.19
580142,22,18.57
580143,124,61.9
580144,84,30.950000000000003
580146,1086,445.55999999999995
580147,192,74.28
580148,113,419.39
580149,1,6.19
580150,3,12.38
580151,77,73.97999999999999
580152,501,169.19000000000003
580153,1027,332.93
580154,8,18.57
580155,214,37.14
580156,146,111.42
580157,10,43.33
580158,196,68.09
580159,38,12.38
580160,694,367.00999999999993
580162,126,302.26000000000005
580163,118,78.82000000000001
580164,268,148.56
580166,76,30.950000000000003
580167,880,105.23
580169,24,6.19
580170,1000,6.19
580172,24,6.19
580173,28,30.950000000000003
580175,50,6.19
580176,184,36.080000000000005
