TransactionNo,TotalQuantity,TotalMoney
581483,80995,12.38
541431,74215,11.32
556917,15049,1657.46
563076,14730,1407.0099999999995
574941,14149,1492.7900000000004
576365,13956,1442.1500000000003
572035,13392,1578.9099999999996
567423,12572,160.7
578841,12540,6.19
552883,12266,1083.4199999999998
563614,12196,1141.3300000000002
562439,11848,249.95
548011,11116,1059.03
545475,10272,1092.98
556267,9811,350.15000000000003
550461,9014,66.25000000000001
558262,8998,784.9000000000001
543989,8384,886.17
553546,8268,950.4
541206,8210,932.67
544479,8174,902.62
566595,7824,176.67
562789,7807,1106.38
581175,7366,496.53
540815,7044,37.41
567280,6932,747.1700000000001
569650,6895,1072.59
569570,6840,296.71000000000004
567381,6760,166.67999999999998
575508,6712,634.88
539731,6668,636.8600000000001
550344,6432,153.01
541220,6198,522.8000000000001
546789,6100,53.73
563074,6098,250.14
541570,6072,372.69000000000005
569815,6016,241.91
548203,5963,2013.42
571318,5952,347.38
571653,5918,2408.09
543099,5880,415.35
578140,5760,259.98
541711,5730,1298.6
560445,5726,772.3799999999999
561901,5246,263.20000000000005
573153,5202,689.82
573585,5195,16222.64
546530,5156,317.29999999999995
550667,5040,63.96
565475,5034,605.32
569572,5000,106.2
574328,4981,2537.1400000000003
566557,4951,933.91
573008,4936,139.54000000000002
563590,4878,242.62
565150,4871,2111.34
539101,4800,135.35
551747,4760,655.4100000000001
543549,4752,52.400000000000006
574341,4752,123.57
580665,4732,202.61000000000007
557263,4718,560.24
547362,4686,460.15
575219,4675,733.4700000000001
554827,4664,639.85
540267,4662,559.8100000000002
564650,4628,543.15
540689,4510,52.91
551351,4476,1494.66
571937,4462,988.5
581105,4340,43.33
558526,4332,119.56
559919,4308,241.06000000000003
554868,4300,10.99
536830,4280,21.77
552978,4222,840.5699999999999
570557,4176,102.76
570097,4176,102.51
547708,4168,176.82
558475,4136,9217.43
553607,4084,306.40000000000003
574092,4074,260.79
566494,4072,190.0
544480,4034,556.19
538991,3944,529.73
580652,3920,221.43
573263,3917,225.21999999999997
544612,3906,11.09
554272,3863,69.38
