,TransactionNo,TotalQuantity,TotalMoney
0,581482,228,84.78
1,581475,352,213.81
3,581477,144,126.14
4,581478,226,234.92
5,581479,10,13.27
6,581480,84,133.26999999999998
7,581481,234,183.19000000000003
9,581485,114,52.53
10,581486,218,112.45
11,581487,120,6.04
12,581488,56,18.12
13,581489,72,14.48
14,581491,12,7.24
16,581493,202,114.79
17,581494,186,104.93
18,581495,240,86.50999999999999
19,581496,496,207.38
22,581500,10,21.72
24,581502,158,144.8
25,581514,405,150.06
26,581516,179,92.85
27,581538,121,467.0
28,581566,144,6.19
29,581567,365,74.28
30,581570,95,74.28
31,581571,270,123.8
32,581572,60,24.76
33,581574,86,74.28
34,581578,505,240.43
35,581579,476,190.50000000000003
36,581580,82,173.76
37,581581,22,21.72
38,581582,18,13.63
39,581583,76,14.48
40,581584,120,14.48
41,581585,278,141.73999999999998
42,581586,66,24.76
43,581587,105,92.85
44,581214,224,61.9
45,581215,272,49.52
46,581216,468,166.41000000000005
48,581218,476,213.83000000000004
51,581221,264,33.050000000000004
52,581222,46,21.72
53,581223,88,48.58
54,581224,149,61.9
55,581225,444,117.46
56,581227,12,12.38
57,581230,494,210.46
58,581231,4,6.19
59,581232,120,30.950000000000003
60,581233,76,78.47999999999999
61,581236,186,62.01
62,581237,181,340.45
64,581241,314,111.42
65,581246,67,190.95
66,581251,52,68.09
67,581252,86,49.52
68,581253,28,117.46
71,581279,18,12.38
72,581281,191,88.86999999999999
73,581285,174,80.58
74,581291,109,49.52
75,581310,92,444.93
76,581324,28,37.14
77,581325,196,123.8
78,581327,214,82.67999999999999
79,581333,21,36.2
80,581334,475,874.27
81,581335,152,72.63999999999999
82,581336,91,98.25
83,581338,140,6.04
84,581345,131,99.04
85,581352,102,308.86
86,581356,27,43.33
87,581357,189,92.85
88,581358,42,30.950000000000003
89,581361,102,37.14
91,581376,253,345.81
92,581377,151,86.66
93,581378,93,142.37
94,581379,101,74.13
95,581380,77,42.88
96,581381,161,164.91000000000005
97,581382,223,137.3
98,581383,188,111.27
99,581385,96,12.38
100,581394,4,6.19
101,581395,35,128.0
102,581396,90,18.57
103,581397,62,43.33
104,581398,122,55.71
105,581399,198,86.66
106,581400,190,321.28
107,581401,256,158.08999999999995
108,581402,186,221.19
109,581403,254,129.69
110,581404,324,401.6699999999999
111,581405,300,1176.5300000000002
112,581407,123,297.12
114,581411,78,37.14
116,581413,134,91.79
117,581414,184,448.63999999999993
118,581415,226,74.13
119,581416,79,79.53
120,581417,110,56.870000000000005
121,581418,154,80.32
123,581420,432,240.8
124,581421,146,78.47999999999999
125,581423,52,37.14
126,581424,63,55.71
127,581425,367,544.3999999999999
128,581426,104,149.72000000000003
129,581427,70,86.87999999999998
130,581428,12,14.48
131,581429,111,65.16
132,581430,48,28.96
133,581431,14,43.33
134,581432,272,28.96
136,581434,70,37.14
137,581435,2,12.38
138,581436,278,92.85
139,581437,254,97.84
140,581438,268,74.28
142,581442,59,55.56
143,581443,492,86.66
144,581445,164,86.21
145,581448,48,55.71
146,581449,22,117.46
147,581450,64,190.05
148,581451,132,154.6
149,581452,324,115.47
150,581453,454,126.01
151,581454,91,61.6
152,581455,140,68.09
153,581456,170,242.31
157,581461,84,24.46
158,581467,256,322.81000000000006
159,581469,64,222.42
160,581471,76,166.98
161,581472,139,105.23
162,581473,55,197.18
163,581474,24,148.56
164,581000,163,111.42
165,581001,309,111.42
166,581002,211,86.66
168,581004,56,43.33
169,581005,67,30.950000000000003
170,581006,609,328.18000000000006
171,581007,88,14.48
172,581008,156,14.48
173,581010,273,92.4
174,581011,176,37.14
175,581013,424,80.47
176,581014,86,36.84
178,581016,77,72.39999999999999
179,581017,80,57.92
180,581018,360,50.68000000000001
